txt,result
유치원 사물함 뒤쪽 넣어놓고 문 탁 닫으니까 남자 애가 있는거야 날 윽 보더 ” 만은 잊지마 ” 볼 뽀뽀 해주고 갔어,1
중 3 맨날 톡 전화하고 한창 꽁 냥 대던 썸 남있었거든 비 온 날 있었는데 우산 없어서 친구 비 맞고 집 뛰어왔어 톡 하다가 비 맞았다고 얘기 하니까 전화 엄청 걱정 하는 말투 비 맞으면 안되는데 .. 감기 걸리면 어떡해 부르지 이러는거 속 부른다고 오겠어 이러고 있었지 며칠 있다가 비 왔거든 학원 이었는데 집 걸어서 15분 거리 여서 어떡하나 고민 있었는데 학원 끝나고 나오니까 걔 우산 기다리고 있었다 학원 끝나는 알았냐고 했더니 같은 수업 듣는 되게 친해서 걔 한테 끝나나 물어봤대 근데 킬포 쌤 그날 수업 오래 하셔서 30분 기다린거였단 ..,1
꽈배기 먹다가 설탕 입 묻었는데 그걸 맨손 털어주던 썸남 설랬었어 알 보니 끼부리는 사람 … 어장 이었지만,0
병원 입원 했을 링거 많이 꽂혀있어서 스스로 머리 묶을 수 없어 낑깅거리 있었는데 남자 방사선사 선생님 쭈뼛거리며 다가오셔서 “ 묶어 ” 조심 스럽게 물어보시면서 보다 본인 많이 수줍하시면서 머리카락 어설프고 서툴지만 열심히 묶어주셨어요,0
남친 선배 였는데 .. 엄청 도와주고 젤리 같은 주면서 호감 표시 하다가 어쩌다가 다쳐서 .. 미안해서 밴드 약 사서 발라 줬었다 나중 오빠 전시회 티켓 주면서 가자고 .. 썸 손 잡고 .. 캐리커쳐 그리는 받고 .. 돌아오는 길 놀이터 얘기 하다가 고백 받았다,1
자주 가는 단골 카페 젊은 사장 님 있었어요 프레즐 브레드 서비스 줄 단골 한테 엄청 했었는데 작하다가 추한 몰골 가도 “ 쌩얼 예쁘시네요 ” 말 걸고 계속 알아봐주고 사장 님 작은 상자 내밀면서 가게 이벤트 있는데 번호 적어서 넣으면 당첨 된다는 안해 된다고 했더니 엄청 당황 “ .. 해야 되는데 .. 사실 손님 한테 하는 이벤트 100 프로 당첨 .. 멋있게 번호 물어 볼걸 .. ”,1
밤 늦게까지 술 마시고 집 가야 하는 상황 였는데 돈 없었 집 가야 해서 대책 없이 택시 탔 같은 방향 가는 모르는 남자 합승 해서요 엄마 먼저 내려야하는데 돈 없어서 택시 아저씨 한테 돈 가져올 까지만 기다려 달라 하는데 합승 했던 남자 돈 대신 내줄테니까 전화번호 달라 했,1
또래 보이는 남자 자꾸 눈 마주치더니 도서 대출 카드 신청 하겠다고 하더라구요 생년 칸 010 쓰더라구요 보다 못 휴대전화 내밀었습니다 쭈뼛쭈뼛 연락처 남기고 사라졌습니다,0
재수 학원 알 여자애 반 수반 이었는데 여대 출신 솔직히 처음 스타일 아녔음 여자 한테 먼저 말 못거 스타일 외모 스타일 은 아녀서 굳이 말 생각 없었음 근데 먼저 말 걸어주고 애가 친화력 상당히 좋은 거임 급속도 친해지고 반 전체 친하게 지내는 여느 입시 망하기 좋은 재수 종합 반 분위기 되었다 중 베프 친해짐 집 갈 가기 걔 고민 들어주기도 뭔가 친해지니 괜찮은 라는 생각 들었음 아마 조금씩 친구 좋아하게 되어 간거 흰 피부 마르고 보통 키 였는데 상당히 날씬한 스타 일이었음 여자애 좋아하는 모델 다리 일자 곧게 마르고 다리 길어서 비율 좋은 몸매 얼굴 은 작은 편이 솔직히 엄청 이쁘진 않은데 전체 적 걸그룹 느낌 스타일 지금 은 완전 스타일 아니지만 중 고딩 급식 20 대 극 초반 뭣모르 티비 나오는 걸그룹 날씬한 여자 좋아하곤 하지 않나 나도 그랬던 듯 지금 은 아니지만 튼 좋게 좋게 지냈는데 친구 나를 남자 라기 보단 좋은 남사 친 생각 하는 듯 했다 나도 친구 좋아하는지 여자 좋아하는지 헷갈렸었지만 확실히 좋아한다고 느낀건 수능 가까워서 였고 수능 끝나고 같은 종합 반 친구 놀러 다니고 술 마시러 가면 베프 지냈음 생일 인 1월 달에 고백 했는데 “ 아직 은 친구 로서 감정 크다 미안 나도 남자 로서 조금씩 널 생각 은 해볼게 ” 라는 거절 왔고 이대로 친구 잃기는 싫어서 알겠다고 평소 친하게 아무렇지도 않은듯 지냈음 고백 하기 전 좋아한다는 소리 같은 반 친구 한테 했고 알 있는 분위기 였는데 개쪽 셈이었지만 아무 내색 하지 않고 좋아는 친구 로서 얼굴 은 자주 보는 힘든 보냈다 21 살 따로 준비 시험 있어서 재수 종합 반 친구 덜 만나게 되었고 친구 연락 은 했지만 자주 보지 않게 되었다 여자애 포스트 글 쓰고 친한 날 헷갈리게 마음 한편 사귈수도 있겠지 생각 공부 했음,0
아침 아무 없는 빈 교실 느낌 좋아서 중학교 내내 일찍 등교 했는데 1 첫날 빨 리가 양 아치 삘 개도 있더라 첫날 이기도 정반대 말 안 걸겠지 했는데 애가 양 아치 성격 좋아서 자꾸 말 걸더라 개는 아애 잠 안자고 학교 자려고 빨리 오는 였는데 맨날 하루 30분 애기 외관 은 전혀 느낌 관심사 겹 치고 좋아지더라 …. 근데 주 자려고 일직 온다면서 애기 한다고 못자면 피곤하거 아니냐 물어봤는데 애기 하는거 싫냐고 하더라 돌려 돌려서 피곤할까봐 그렇다는 식 말 알겠다면서 부터는 일찍 가도 자고있음 … 무서워서 깨우지는 못 옆 빙빙 거리 자고있는줄 알았는데 빨리 사과 하길래 사과 다시 아침 마다 애기 개는 학교 늘 잠 자고 양 아치 같은 무서운 노 평소 아는 안 했는데 꼭 눈 마주치면 손 살짝 아는 해주던게 좋았었는데 … 2 반 갈리 복도 에서만 간간히 인사 애기 다가 졸업식 사진 찍고 로는 연락 안 했는데,0
